Time,Ligtag,Client,Coordinate system,,
2025-11-06 16:40:00 +0800,733,1,86,,
2025-11-06 16:42:00 +0800,733,1,86,,
2025-11-06 16:42:00 +0800,733,1,86,,
2025-11-06 16:42:00 +0800,733,1,86,,
2025-11-06 16:42:00 +0800,733,1,86,,
2025-11-06 16:46:00 +0800,5460,1,273,,
2025-11-06 17:04:00 +0800,733,1,86,,
2025-11-06 17:04:00 +0800,733,1,86,,
2025-11-06 17:10:00 +0800,733,1,86,,
2025-11-06 17:10:00 +0800,733,1,86,,
2025-11-06 17:10:00 +0800,733,1,86,,
2025-11-06 17:20:00 +0800,1951,78,472,,
2025-11-06 17:21:00 +0800,1951,78,472,,
2025-11-06 17:22:00 +0800,733,1,86,,
2025-11-06 17:22:00 +0800,733,1,86,,
2025-11-06 17:23:00 +0800,1951,78,472,,
2025-11-06 17:23:00 +0800,1951,78,472,,
2025-11-06 17:23:00 +0800,1951,78,472,,
2025-11-06 17:43:00 +0800,1951,78,472,,
2025-11-06 17:47:00 +0800,733,1,86,,
2025-11-06 17:47:00 +0800,733,1,86,,
2025-11-06 18:01:00 +0800,1951,78,472,,
2025-11-06 18:01:00 +0800,1951,78,472,,
2025-11-06 18:01:00 +0800,1951,78,472,,
2025-11-06 18:03:00 +0800,1951,78,472,,
2025-11-06 18:03:00 +0800,1951,78,472,,
2025-11-06 18:04:00 +0800,1951,78,472,,
2025-11-06 18:04:00 +0800,1951,78,472,,
2025-11-06 18:23:00 +0800,733,1,86,,
2025-11-06 18:23:00 +0800,733,1,86,,
2025-11-06 18:31:00 +0800,1972,1,473,,
2025-11-06 18:35:00 +0800,733,1,86,,
2025-11-06 18:40:00 +0800,733,1,86,,
2025-11-06 18:57:00 +0800,733,1,86,,
2025-11-06 19:44:00 +0800,1972,1,433,,
2025-11-06 19:44:00 +0800,1972,1,433,,
2025-11-06 19:44:00 +0800,1972,1,433,,
2025-11-06 20:15:00 +0800,5519,1,431,,
2025-11-06 20:35:00 +0800,5519,1,431,,
2025-11-06 20:35:00 +0800,5441,1,459,,
2025-11-06 20:36:00 +0800,5441,1,459,,
2025-11-06 20:36:00 +0800,5441,1,459,,
2025-11-06 20:37:00 +0800,5519,1,431,,
